时间(s),器件类型,中心温度(℃),引脚温度(℃)
0.39,贴片电阻,25.0,25.59
0.39,贴片电容,25.33,25.59
0.39,塑封芯片,25.0,25.59
0.39,陶封芯片,25.0,25.59
0.78,贴片电阻,25.26,26.17
0.78,贴片电容,25.0,26.17
0.78,塑封芯片,25.0,26.17
0.78,陶封芯片,25.0,26.17
1.17,贴片电容,25.0,26.76
1.17,塑封芯片,25.0,26.76
1.17,陶封芯片,25.0,26.76
1.56,贴片电阻,25.72,27.35
1.56,贴片电容,25.0,27.35
1.56,塑封芯片,25.0,27.35
1.56,陶封芯片,25.2,27.35
1.96,贴片电阻,27.73,27.93
1.96,贴片电容,27.39,27.93
1.96,塑封芯片,25.0,27.93
1.96,陶封芯片,25.75,27.93
2.35,贴片电阻,27.09,28.52
2.35,贴片电容,25.56,28.52
2.35,陶封芯片,25.0,28.52
2.74,贴片电阻,26.54,29.11
2.74,贴片电容,26.19,29.11
2.74,塑封芯片,25.0,29.11
2.74,陶封芯片,26.05,29.11
3.13,贴片电阻,28.27,29.69
3.13,贴片电容,27.48,29.69
3.13,塑封芯片,25.0,29.69
3.13,陶封芯片,25.32,29.69
3.52,贴片电阻,27.34,30.28
3.52,贴片电容,29.19,30.28
3.52,塑封芯片,25.15,30.28
3.52,陶封芯片,27.16,30.28
3.91,贴片电阻,30.13,30.87
3.91,贴片电容,29.33,30.87
3.91,塑封芯片,25.0,30.87
3.91,陶封芯片,27.63,30.87
4.3,贴片电阻,30.06,31.45
4.3,贴片电容,31.11,31.45
4.3,塑封芯片,25.0,31.45
4.3,陶封芯片,29.39,31.45
4.69,贴片电阻,30.51,32.04
4.69,贴片电容,29.76,32.04
4.69,塑封芯片,25.81,32.04
4.69,陶封芯片,30.01,32.04
5.08,贴片电阻,30.14,32.62
5.08,贴片电容,32.13,32.62
5.08,塑封芯片,25.26,32.62
5.08,陶封芯片,27.78,32.62
5.47,贴片电阻,32.96,33.21
5.47,贴片电容,30.49,33.21
5.47,塑封芯片,26.64,33.21
5.47,陶封芯片,30.36,33.21
5.87,贴片电阻,31.32,33.8
5.87,贴片电容,31.46,33.8
5.87,塑封芯片,28.1,33.8
5.87,陶封芯片,30.33,33.8
6.26,贴片电阻,33.37,34.38
6.26,贴片电容,33.99,34.38
6.26,塑封芯片,28.09,34.38
6.26,陶封芯片,32.19,34.38
6.65,贴片电阻,34.89,34.97
6.65,贴片电容,34.42,34.97
6.65,塑封芯片,27.46,34.97
6.65,陶封芯片,31.51,34.97
7.04,贴片电阻,34.79,35.56
7.04,贴片电容,33.24,35.56
7.04,塑封芯片,29.71,35.56
7.04,陶封芯片,30.87,35.56
7.43,贴片电阻,35.26,36.14
7.43,贴片电容,35.37,36.14
7.43,塑封芯片,28.56,36.14
7.43,陶封芯片,33.69,36.14
7.82,贴片电阻,35.34,36.73
7.82,贴片电容,35.86,36.73
7.82,塑封芯片,31.33,36.73
7.82,陶封芯片,34.44,36.73
8.21,贴片电阻,34.32,37.32
8.21,贴片电容,34.37,37.32
8.21,塑封芯片,32.19,37.32
8.21,陶封芯片,34.52,37.32
8.6,贴片电阻,37.02,37.9
8.6,贴片电容,35.05,37.9
8.6,塑封芯片,32.48,37.9
8.6,陶封芯片,34.11,37.9
8.99,贴片电阻,37.15,38.49
8.99,贴片电容,37.34,38.49
8.99,塑封芯片,32.2,38.49
8.99,陶封芯片,34.58,38.49
9.38,贴片电阻,38.71,39.08
9.38,贴片电容,38.73,39.08
9.38,塑封芯片,33.75,39.08
9.38,陶封芯片,36.34,39.08
9.78,贴片电阻,37.81,39.66
9.78,贴片电容,39.44,39.66
9.78,塑封芯片,33.21,39.66
9.78,陶封芯片,37.1,39.66
10.17,贴片电阻,38.09,40.25
10.17,贴片电容,39.99,40.25
10.17,塑封芯片,34.94,40.25
10.17,陶封芯片,36.4,40.25
10.56,贴片电阻,39.7,40.84
10.56,贴片电容,38.95,40.84
10.56,塑封芯片,34.84,40.84
10.56,陶封芯片,35.95,40.84
10.95,贴片电阻,39.94,41.42
10.95,贴片电容,39.97,41.42
10.95,塑封芯片,35.46,41.42
